Stock,Earnings Yield,Return on Capital,Market Cap
20MICRONS.NS,0.04726600361228256,0.1377640282354219,6726087680
21STCENMGM.NS,-8.25920377506162e-05,-0.0025849648275277567,738569984
360ONE.NS,-0.0036124300540556517,-0.019802934110297425,348787376128
3IINFOLTD.NS,-1.9435475444916643,0.27022340176881726,3524849408
3MINDIA.NS,0.007446926488606538,0.11328557155290588,308998307840
5PAISA.NS,0.023148951069369504,0.03568717206771175,10985810944
63MOONS.NS,-0.019104013447776468,-0.01996828577497999,33699510272
A2ZINFRA.NS,-0.027297312350730157,-0.052155946473053084,2289291264
AAATECH.NS,0.016176107212897466,0.07348708662918135,967012416
AADHARHFC.NS,-0.04396830618311882,-0.0743109590837559,185581404160
AAKASH.NS,0.0777082731379786,0.1476089210408419,781649984
AAREYDRUGS.NS,0.0728587539575025,0.1038775449920876,1283882624
AARON.NS,0.008242278588781005,0.16825400562730303,3397506048
AARTECH.NS,0.0036341900247049883,0.02424264995473986,1680654208
AARTIDRUGS.NS,0.11955603338871768,0.3348299848879822,29366122496
AARTIIND.NS,0.04837126996332884,0.14142026961541837,128730857472
AARTIPHARM.NS,-7.804770218141366e-07,-0.020166593599298552,58940641280
AARTISURF.NS,0.06738789625820008,0.14815420268238885,3429921792
AARVEEDEN.NS,-0.05941078523717749,-0.12753957505364671,3211368192
AARVI.NS,0.07927489882818511,0.12542892898954422,1500871680
AAVAS.NS,0.004698560040614312,0.011224492563287074,156793782272
ABAN.NS,-0.06001933217592307,0.05492773862887744,2195118848
ABB.NS,0.007017651414063097,0.1802356873394856,1051860533248
ABBOTINDIA.NS,0.015357231118652332,0.3360739467324414,615500808192
ABCAPITAL.NS,-0.08404555603280574,-0.03510882023197384,467765362688
ABDL.NS,0.01624699166676756,0.25168464161595067,85633220608
ABFRL.NS,-0.01039595600907966,-0.055984308351288994,298126409728
ABINFRA.NS,0.0005639035422939448,0.010344598965315832,4866769408
ABMINTLLTD.NS,0.31331176529477783,0.5122721320514146,428064000
ABREL.NS,0.0025889617735577455,0.010415105073591875,199332003840
ABSLAMC.NS,0.00030459244348722287,0.014916910134810106,182844325888
ACC.NS,0.05790384153102456,0.13182546691281036,362445111296
